,hip1_hip2,hip1_hip2,hip1_hip2,hip2_upperlimb,hip2_upperlimb,hip2_upperlimb,upperlimb_knee,upperlimb_knee,upperlimb_knee,knee_ankle,knee_ankle,knee_ankle,ankle_toe1,ankle_toe1,ankle_toe1,toe1_toe2,toe1_toe2,toe1_toe2,,24.67001909
,length,orientation,likelihood,length,orientation,likelihood,length,orientation,likelihood,length,orientation,likelihood,length,orientation,likelihood,length,orientation,likelihood,,
54,1.147891926,169.9249631,0.962906837,34.75243673,130.7137375,0.988158762,110.506474,110.2528254,0.989534974,106.5615684,61.74222649,0.928808093,11.23806295,75.62546045,0.952154756,35.81999974,165.1169135,0.967137218,,8.004948085
55,1.058460162,169.572356,0.962753415,34.78860416,130.7224127,0.988000274,110.5050902,110.2816756,0.989607096,106.5603213,61.75878883,0.928923845,11.26207182,75.45424618,0.951860547,35.79259719,165.1426115,0.967030764,,7.959535538
56,1.802261574,304.9282481,0.969530642,36.32559155,127.470551,0.995140254,108.4362453,103.6742144,0.98763752,104.8318139,61.36770858,0.943589091,12.30675938,71.25395561,0.965530038,35.00045128,161.9633854,0.981079936,,14.95807701
57,1.790446383,302.6091881,0.969268322,36.34668789,127.1213107,0.995086432,108.4071085,103.7326606,0.987775087,104.7654354,61.37109011,0.943637908,12.32121386,71.58987911,0.965601563,34.83201852,161.805271,0.981158018,,14.89624929
58,1.984650085,331.0897025,0.985588789,36.39803107,123.0483121,0.994286954,105.7191108,96.68067142,0.968326628,105.4991722,60.51120891,0.98010236,13.87800947,73.52818442,0.97956121,33.73442648,161.2183185,0.970293164,,22.80811968
59,1.990345901,331.5267221,0.985565901,36.41679073,122.9842749,0.994324803,105.7130246,96.67891627,0.968319178,105.4795308,60.52344668,0.980096698,13.88821661,73.4972253,0.979525387,33.67331519,161.2547836,0.969960213,,22.79763705
60,1.703075829,24.89965069,0.984776497,35.70497525,121.5692484,0.991250396,104.4337852,92.98923383,0.989533305,107.4028147,59.20647783,0.978540003,16.04243243,68.55011475,0.954181552,35.68952018,161.4026994,0.95867312,,27.80428835
61,1.708802093,23.96800028,0.984450936,35.73020656,121.6459746,0.991241932,104.3931184,92.98829856,0.98960495,107.4878929,59.23645266,0.978169322,15.91352376,68.31515175,0.954459786,35.9480142,161.1173805,0.959767938,,27.77524878
62,1.775919623,151.9423154,0.97953546,39.13917329,112.9637753,0.984017611,103.9537344,84.77318327,0.997977912,108.0145715,58.72566462,0.956440568,15.21077412,64.04786594,0.93039161,33.38549565,151.7322719,0.979382873,,36.50115211
63,3.713204593,192.4383173,0.990710616,38.68722884,110.6334628,0.993028283,102.9843961,81.98684037,0.99432075,110.4257929,58.34541474,0.958257556,14.92775234,47.99161114,0.929868698,34.61197268,145.4068331,0.969505668,,39.6677449
64,3.347704643,141.2665246,0.989990473,36.86737155,111.3828316,0.994572878,99.53815992,77.80058763,0.988092482,115.0553257,56.00001876,0.966390669,12.77392545,50.97589788,0.955121994,33.91219411,132.7926511,0.976453662,,46.19939361
65,14.00224869,0.501498356,0.18442139,52.52833725,128.7252296,0.187039495,107.2080726,72.4365995,0.590297699,111.4917698,53.90876402,0.436474144,15.00256575,52.92875372,0.269118428,36.72047937,138.9228588,0.12357828,,53.65463648
66,255.6962055,66.66650102,0.126569986,209.0135927,239.4066452,0.216257751,98.60475183,76.57249535,0.871957242,110.8290907,52.6751409,0.384416908,14.69623233,31.48000852,0.32946378,35.70665914,126.4280445,0.089843541,,50.75236375
67,6.581609912,113.2418909,0.121686667,45.15382526,119.1458253,0.310385168,108.1335735,71.54402696,0.637915909,111.6441342,51.22930961,0.677800179,13.10680015,40.19407929,0.514472842,34.52487077,122.8437511,0.394346356,,57.22666343
68,3.128008918,273.0721922,0.171785444,205.3869157,234.7116434,0.410878688,101.4933832,75.34545209,0.923208654,104.2965761,45.78866023,0.292862892,18.18952641,15.160295,0.158648163,19.66556669,173.4854502,0.168691069,,58.86588767
69,4.294162316,153.2473246,0.034341604,17.61216241,148.682404,0.086630851,117.4029336,223.2728918,0.719871461,115.8485158,41.43614779,0.257317901,12.49578608,14.74799835,0.173817843,223.9847306,234.833535,0.070146143,,-84.70903963
70,3.459674876,31.8513707,0.049981296,19.81545,128.1772009,0.12433967,125.849333,214.7276967,0.682008505,113.3022418,31.88943847,0.664126992,20.70742825,19.47919879,0.209282011,238.4702492,227.8786013,0.070741177,,-66.61713521
71,10.04032666,116.0231148,0.014850438,202.1909972,232.3403278,0.11457473,102.9326431,72.69546767,0.905411363,115.5435254,34.47892008,0.401263922,4.830855791,45.13722053,0.629759312,13.23290756,170.5806286,0.086185396,,72.82561225
72,12.76155291,238.8534773,0.046736985,14.15030902,108.6247433,0.075868905,119.5987882,215.6095322,0.681965709,111.4767215,30.85862539,0.308074951,9.835783095,60.71144375,0.281850517,225.3632812,229.0582547,0.070124388,,-66.46815757
73,9.906646694,141.6497424,0.034669906,20.06315639,82.05578099,0.074889511,119.6076632,218.5776798,0.926904261,111.237711,31.14871791,0.768703222,14.33613707,33.51435848,0.467162728,18.287922,181.6783195,0.082593262,,-69.72639772
74,2.437017129,205.2180928,0.974400163,39.60956026,122.2741753,0.967315555,101.0098609,81.27297098,0.994089603,111.8625465,22.82726436,0.942920327,16.85853898,2.694719965,0.940596402,36.70433532,95.25769457,0.974921823,,75.89976465
75,2.465311151,206.69803,0.974355102,39.60188596,122.3290013,0.967605531,101.0854283,81.26480739,0.994133353,111.8587047,22.7923254,0.942475677,16.86359996,2.874660602,0.940495491,36.68895839,95.09343536,0.975078344,,75.94286721
76,7.579353986,90.63862906,0.067986131,207.67616,60.28145803,0.338706583,119.0901598,198.1490019,0.572232723,108.8318358,16.11883976,0.44446671,9.944895964,354.0786143,0.385910034,131.9457186,192.7671115,0.074901134,,-34.26784164
77,1.978035145,190.3190145,0.990196824,41.55873172,122.6563645,0.982935786,102.0029707,85.42194746,0.989202857,108.2603763,14.86360637,0.917040706,19.90433434,4.772050053,0.922245324,33.15768975,98.17347608,0.932184279,,79.71444618
78,1.36924843,183.9621573,0.988618612,44.01760504,123.6748152,0.968752742,101.2455339,87.42961544,0.989657283,106.2893636,12.51592396,0.907064319,17.5419158,351.1813108,0.949469924,35.56277301,87.936609,0.95823878,,80.05446061
79,1.366453833,183.8127581,0.988597274,43.95468169,123.7224029,0.968557656,101.2876656,87.41540167,0.989646792,106.292916,12.52002163,0.906887591,17.4815837,351.3289266,0.949269891,35.51123571,87.87052292,0.958590627,,80.0645767
80,2.12308058,137.1185046,0.982250094,43.68486217,127.4497159,0.975721836,101.9758774,100.3979106,0.985533118,107.7324082,8.450874326,0.919445038,18.71861741,350.0607943,0.97662586,34.8829967,88.60262938,0.957639992,,71.15121505
81,2.139329469,133.5389082,0.982292652,43.62969525,127.4115538,0.975663245,101.9564905,100.4108799,0.985314429,107.5932592,8.446018366,0.918899179,18.79723129,350.1536524,0.976579547,34.93110044,88.58927988,0.957449198,,71.14310171
82,2.40230997,133.084897,0.982155085,43.40371738,127.4778311,0.971523762,102.5656826,103.1540698,0.994701385,110.812075,6.489643483,0.900984466,14.47868905,6.533028236,0.966396213,34.35336264,88.05122747,0.938019753,,70.35628668
83,2.367736781,130.8163393,0.982061028,43.50609469,127.6121893,0.971391082,102.5580006,103.1477728,0.994721174,110.788719,6.508107876,0.90081799,14.50054072,6.487532605,0.966359317,34.35424268,88.06679996,0.937959552,,70.34411934
84,3.093308828,147.9324752,0.976335883,44.18300436,129.6535037,0.975000858,101.0811484,107.3776702,0.988533378,107.1962026,13.72918953,0.948538482,18.74918595,356.8475106,0.971660733,36.68953785,94.98427414,0.920687914,,58.89314023
85,1.59012315,206.8804331,0.971015215,44.95801885,128.1144135,0.970292687,101.1224052,112.7608224,0.995994687,109.2064746,15.55278919,0.921247959,17.92228591,15.97739382,0.935694814,37.16514909,100.0266098,0.966532946,,51.68638843
86,1.136758372,37.86049649,0.960194349,45.31719256,134.3010977,0.953709364,103.0674484,116.9815485,0.994273901,112.0107005,27.25606188,0.924294293,17.15828317,4.03964252,0.955520868,37.98604957,111.5538709,0.965921104,,35.76238961
87,6.609050959,9.592710958,0.044421673,223.8760636,84.05563101,0.190122366,135.0855357,218.5368791,0.435261607,117.1136041,29.04240958,0.699503064,10.6809968,40.58595268,0.745028675,37.1115744,101.0620326,0.145119101,,-67.57928864
88,7.784490931,149.2279713,0.088464856,37.0211452,99.3213135,0.358675182,125.753978,224.0764258,0.622592866,106.7752719,32.43577957,0.612462878,11.04376661,40.07007535,0.293902516,36.60363795,124.5583378,0.177926779,,-76.51220537
89,1.905836211,153.3482808,0.975032568,44.29748162,133.9671282,0.990972996,105.5912226,117.8489455,0.992912173,110.1298112,34.09689868,0.945573628,14.50197808,33.92912917,0.962400198,33.02908647,117.2998492,0.987213492,,28.05415578
